Contact,Date1,Date2,start x,start y,end x,end y
RCT02_pMedian_7,15-Feb-2023,06-Mar-2023,97.16918,558.6181,369.6009,475.9829
RCT02_pMedian_7,15-Feb-2023,06-Mar-2023,97.16918,558.6181,1569.987,462.8832
RCT02_pMedian_7,15-Feb-2023,06-Mar-2023,332.2857,253.0714,369.6009,475.9829
RCT02_pMedian_7,15-Feb-2023,06-Mar-2023,332.2857,253.0714,1569.987,462.8832
RCT02_pMedian_7,15-Feb-2023,06-Mar-2023,362.3285,173.2286,369.6009,475.9829
RCT02_pMedian_7,15-Feb-2023,06-Mar-2023,362.3285,173.2286,1569.987,462.8832
RCT02_pMedian_7,15-Feb-2023,06-Mar-2023,464.8444,1073.733,369.6009,475.9829
RCT02_pMedian_7,15-Feb-2023,06-Mar-2023,464.8444,1073.733,1569.987,462.8832
RCT02_pMedian_7,15-Feb-2023,06-Mar-2023,376.1803,164.3793,369.6009,475.9829
RCT02_pMedian_7,15-Feb-2023,06-Mar-2023,376.1803,164.3793,1569.987,462.8832
RCT02_pMedian_7,06-Mar-2023,05-Apr-2023,369.6009,475.9829,379.5017,243.7853
RCT02_pMedian_7,06-Mar-2023,05-Apr-2023,369.6009,475.9829,1564.457,270.4031
RCT02_pMedian_7,06-Mar-2023,05-Apr-2023,369.6009,475.9829,182.1774,633.2875
RCT02_pMedian_7,06-Mar-2023,05-Apr-2023,369.6009,475.9829,370.7954,293.064
RCT02_pMedian_7,06-Mar-2023,05-Apr-2023,369.6009,475.9829,1575.085,248.4559
RCT02_pMedian_7,06-Mar-2023,05-Apr-2023,369.6009,475.9829,1791.743,632.3569
RCT02_pMedian_7,06-Mar-2023,05-Apr-2023,1569.987,462.8832,379.5017,243.7853
RCT02_pMedian_7,06-Mar-2023,05-Apr-2023,1569.987,462.8832,1564.457,270.4031
RCT02_pMedian_7,06-Mar-2023,05-Apr-2023,1569.987,462.8832,182.1774,633.2875
RCT02_pMedian_7,06-Mar-2023,05-Apr-2023,1569.987,462.8832,370.7954,293.064
RCT02_pMedian_7,06-Mar-2023,05-Apr-2023,1569.987,462.8832,1575.085,248.4559
RCT02_pMedian_7,06-Mar-2023,05-Apr-2023,1569.987,462.8832,1791.743,632.3569
RCT02_pMedian_7,05-Apr-2023,06-Apr-2023,379.5017,243.7853,339.2759,620.3107
RCT02_pMedian_7,05-Apr-2023,06-Apr-2023,1564.457,270.4031,339.2759,620.3107
RCT02_pMedian_7,05-Apr-2023,06-Apr-2023,182.1774,633.2875,339.2759,620.3107
RCT02_pMedian_7,05-Apr-2023,06-Apr-2023,370.7954,293.064,339.2759,620.3107
RCT02_pMedian_7,05-Apr-2023,06-Apr-2023,1575.085,248.4559,339.2759,620.3107
RCT02_pMedian_7,05-Apr-2023,06-Apr-2023,1791.743,632.3569,339.2759,620.3107
RCT02_pMedian_7,06-Apr-2023,10-May-2023,339.2759,620.3107,436.1438,295.5563
